Original_Code,Consolidated_Code
ACC Impact,ACC Program Impact
ACC Program Impact,ACC Program Impact
ACC as Turning Point,ACC Program Impact
ASANA Rollout,ASANA Rollout
ATO as Instrument,ATO as Instrument
Accommodative Leadership,Accommodative Leadership
Accountability,Accountability
Accountability vs. Flexibility,Accountability
Taxpayer Accountability,Accountability
Action-Oriented Research,Action-Oriented Studies
Action-Oriented Studies,Action-Oriented Studies
Actionable Research,Actionable Research
Adaptability to Changes,Adaptability to Changes
Adaptation Willingness,Adaptation Willingness
Agriculture Plan Development,Agriculture Plan Development
Analyst Training,Analyst Training
Input Misuse due to Lack of Training,Analyst Training
Attracting High-Caliber Individuals,Attracting High-Caliber Individuals
Autonomous Agency Creation,Autonomous Agency Creation
Autonomy from Government,Autonomy from Government
Independent Structure,Autonomy from Government
Beyond MoA Engagement,Beyond MoA Engagement
Beyond Paper Results,Beyond Paper Results
Big Data Application,Big Data Application
Blocked Learning Retreat,Blocked Learning Retreat
Blueprint for Offices,Blueprint for Offices
Both Policy & Solutions,Both Policy & Solutions
Bottleneck Removal,Bottleneck Removal
Breaking Down Plans,Breaking Down Plans
Bridging Implementation Gap,Bridging Implementation Gap
Broad Buy-in,Broad Buy-in
Budget Allocation Clarity,Budget Allocation Clarity
Budget Disbursement Capacity,Budget Disbursement Capacity
Business Mindset Gap,Business Mindset Gap
CGIAR Collaboration,CGIAR Collaboration
Capacitating Partners,Capacitating Partners
Capacity Building Playbook,Capacity Building Playbook
Capacity Building for Continuity,Capacity Building for Continuity
Capacity Gaps,Capacity Gaps
Early Capacity Building Gap,Capacity Gaps
Catalyst for Sustainable Development,Catalyst for Sustainable Development
Catalytic Change,Catalytic Change
Catalytic Flexible Funding,Catalytic Flexible Funding
Catalytic Funding,Catalytic Flexible Funding
Catalytic Investment,Catalytic Investment
Central Team Proximity,Central Team Proximity
Central Unit Support,Central Unit Support
Circumstance-Dependent Replication,Circumstance-Dependent Replication
Civil Servant Buy-in,Civil Servant Buy-in
Civil Service Weakness,Civil Service Weakness
Civil War Impact,Civil War Impact
Clarity of Vision,Clarity of Vision
Clear Central Role,Clear Central Role
Clear Communication Protocol,Clear Communication Protocol
Clear Mandate,Clear Mandate Areas
Clear Mandate Areas,Clear Mandate Areas
Clear Mission,Clear Mission
Clear Role Allocation Process,Clear Role Allocation Process
Climate Adaptation Mainstreaming,Climate Adaptation Mainstreaming
Climate Finance Access,Climate Finance Access
Climate Resilience Focus,Climate Resilience Focus
Climate Shocks,Climate Shocks
Co-Creation Approach,Co-Creation Approach
Co-located Support,Co-located Support
Collaborative Alignment,Collaborative Approach
Collaborative Approach,Collaborative Approach
Collaborative Leadership,Collaborative Leadership
Commitment to Technical Orientation,Commitment to Technical Orientation
Competing Agendas,Competing Agendas
Competition for Resources,Competition for Resources
Complex Analysis Mandate,Complex Analysis Mandate
Comprehensive Data Gathering,Comprehensive Data Gathering
Continuous Innovation,Continuous Innovation
Continuous Pivoting,Continuous Pivoting
