Original_Code,Consolidated_Code
ACC Impact,ACC Program Impact
ACC Program Impact,ACC Program Impact
ACC as Turning Point,ACC Program Impact
Accountability,Accountability
Accountability vs. Flexibility,Accountability
Taxpayer Accountability,Accountability
Action-Oriented Research,Action-Oriented Studies
Action-Oriented Studies,Action-Oriented Studies
Analyst Training,Analyst Training
Input Misuse due to Lack of Training,Analyst Training
Autonomy from Government,Autonomy from Government
Independent Structure,Autonomy from Government
Capacity Gaps,Capacity Gaps
Early Capacity Building Gap,Capacity Gaps
Catalytic Flexible Funding,Catalytic Flexible Funding
Catalytic Funding,Catalytic Flexible Funding
Clear Mandate,Clear Mandate Areas
Clear Mandate Areas,Clear Mandate Areas
Collaborative Alignment,Collaborative Approach
Collaborative Approach,Collaborative Approach
Context-Specific Design,Country-Context Tailoring
Country-Context Tailoring,Country-Context Tailoring
Country-Specific Adaptation,Country-Context Tailoring
Country-Specific Collaboration Models,Country-Context Tailoring
Cross-Sector Consultation,Cross-Sector Consultation
Improved Consultation,Cross-Sector Consultation
Cross-Sectoral Collaboration,Cross-Sectoral Collaboration
Cross-Sectoral Coordination,Cross-Sectoral Collaboration
Data Collection Mechanism,Data Collection Mechanism
Poor Data Collection,Data Collection Mechanism
Demand-Driven Approach,Demand-Driven Engagement
Demand-Driven Engagement,Demand-Driven Engagement
Demand-Driven Focus Areas,Demand-Driven Engagement
Demand-Driven Selection,Demand-Driven Engagement
Direct Implementation Model,Direct Implementation Model
Direct Project Implementation,Direct Implementation Model
Economy-Wide Impact,Economy-Wide Impact
Large Economic Impact,Economy-Wide Impact
Ecosystem Management,Ecosystem Management
Ecosystem Understanding Gap,Ecosystem Management
Ego-Driven Obstacles,Ego-Driven Obstacles
Egos Obstacle,Ego-Driven Obstacles
Evidence-Based Approach,Evidence-Based Policy
Evidence-Based Focus,Evidence-Based Policy
Evidence-Based Policy,Evidence-Based Policy
Evidence-Based Policy Making,Evidence-Based Policy
Weak Evidence-Based Policymaking,Evidence-Based Policy
Donor Dependency Risk,External Dependency
External Dependency,External Dependency
External Funding Reliance,External Dependency
External Support Dependence,External Dependency
Over-reliance on External Support,External Dependency
Flagship Focus,Flagship Focus
Flagship Priority Identification,Flagship Focus
Flagship Program,Flagship Focus
Senegal Flagship Selection,Flagship Focus
Unclear Flagship Prioritization,Flagship Focus
Food Security,Food Security Trade-offs
Food Security Trade-offs,Food Security Trade-offs
Budget Gaps,Funding Gap
Capital Funding Needs,Funding Gap
Funding Gap,Funding Gap
Operational Funding Gaps,Funding Gap
Underinvestment,Funding Gap
Government Collaboration,Government Commitment
Strong Government Commitment,Government Commitment
Government Institution,Government Institution
Public Administrative Agency,Government Institution
Grant Disbursement Delays,Implementation Delays
Implementation Delays,Implementation Delays
Increased Productivity & Income,Increased Productivity and Income
Increased Productivity & Sustainability,Increased Productivity and Income
Increased Productivity and Income,Increased Productivity and Income
Productivity Gains,Increased Productivity and Income
Productivity Increase Potential,Increased Productivity and Income
