Source,Dimension,SWOT,Text,Code,DocSources
Gray Lit,Governance,Strengths,"[Multi-Partner Structure] The African Agricultural Transformation Initiative (AATI) features a multi-organization governance and funding structure, including agricultural development institutions (IFAD), African institutions specializing in governance and capability building (AGRA), and expertise in driving transformations (McKinsey & Company), which distinguishes it from individual agency efforts. (High confidence)",Multi-Partner Collaboration,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Flexible Design] The AATI adopts a modular design approach, allowing support offerings, timing, and governance models to be tailored to specific country needs and existing initiatives. (High confidence)",Flexible Design,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Clear Central Role] The central AATI team is responsible for guiding and coordinating the initiative, enabling and supporting national ATAs, and compiling a knowledge hub of successful approaches, which helps ensure common design principles and best practices are shared. (High confidence)",Clear Central Role,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Central Unit Support] A central AATI coordination unit is established to work with national ATAs, providing support and guidance to help identify priority areas and design policies and projects. (High confidence)",Central Unit Support,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Strategic Oversight] The Agricultural Transformation Council (for Ethiopia's ATA) oversees and sets the strategic direction for the Transformation Agenda, involving senior leadership of Ministries, Agencies, and Regional Bureaus. (High confidence)",Strategic Oversight,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Presidential Supervision] Togo's ATA is placed under the supervision of the Presidency of the Republic, ensuring high-level oversight and financial supervision from the Ministry of Finance. (High confidence)",Presidential Leadership,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Organized Missions] The ATA in Togo defines its missions as analytical studies, implementation of priority projects, implementation of support measures for priority projects, and establishing linkages and coordination, providing a clear operational framework. (High confidence)",Organized Missions,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Robust Governance Structure] The Ethiopian Food System Transformation and Nutrition (EFSTN) initiative, coordinated by ATI, has a robust governance structure with an Inter-Ministerial Steering Committee at the federal level and a Development Partner Group, fostering multi-actor mobilization. (High confidence)",Robust Governance Structure,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Strategic Steering Committee] The Digital Agriculture Roadmap (DAR) in Ethiopia has a Steering Committee chaired by the Minister of Agriculture and co-chaired by the ATI CEO, providing strategic direction, along with a Technical Committee for specialized insights. (High confidence)",Strategic Steering Committee,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Political Endorsement] Delivery units derive their influence from concerted political sponsorship and the backing of relevant leadership, which is crucial for effectiveness and buy-in from engaged stakeholders. (High confidence)",Political Endorsement,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Clear Mission] The role, scope, and objectives of a delivery unit should be clear and accepted, ensuring that staff understand their purpose and how it contributes to broader goals. (High confidence)",Clear Mission,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Collaborative Leadership] The AATI draws on the strengths of its four Founding Partners, with IFAD hosting the AATI and, along with B&MGF and AGRA, providing guidance and expertise through a multi-partner steering committee that leads strategy and implementation. (High confidence)",Collaborative Leadership,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Defined Framework] The AATI has a defined governance framework, including a steering committee, a Council of Advisors, a Central Unit, and Agriculture Transformation Offices/Agencies (ATO/ATA) in supported countries, outlining roles and authorities for implementation. (High confidence)",Defined Framework,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
Gray Lit,Governance,Strengths,"[Country-Context Tailoring] The management and governance arrangements for national ATAs are developed and tailored to the specific country context, ensuring local ownership and effectiveness. (High confidence)",Country-Context Tailoring,3. IFAD Investment Document for Gates Foundation_v106 (1).docx.pdf; AATI FAQ for IFAD EB Members FINAL.pdf; AO 2 - ATA Orientation_vDec 2021.pdf; ATA Contract farming model_TASC Learning doc_v1_28.02.2025_ASG.pdf; ATA Retreat Worksheet - April 2023_ Final; ATI Annual_Report_2024_December-20.pdf; DU bluepring document2.pdf; EB 2021-VBC-7-Request to establish AATI Trust Fund-FINAL (2).pdf; Governance framework of the AATI .pdf; INV-006368_Progress Report_P3 - 2023.pdf; INV-006368_Progress Report_P4 - 2024 (00B)_final.pdf; Khalid Bomba - presentation on Nodal Agency concept and Ethiopian ATA (2010 - 2020) - March 2025.pdf; One pager - AATI with countries - June 2023.pdf; Sudan ALTA Learning Document.pdf; TASC Presentation March 27_ Dutch Learning Session.pdf
